Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Datetime,Hour,Day,Month,Weekend,Season,Rolling_Mean,Moving_Average,Variance,Peak_Ratio
29/6/2009,02:13:00,0.166,0.0,243.35,0.6,0.0,0.0,0.0,2009-06-29 02:13:00,2,29,6,0,Monsoon,0.375083333333334,0.375083333333334,0.0986462536233723,0.4425683181515211
24/5/2009,10:35:00,0.41,0.108,240.67,1.8,0.0,0.0,0.0,2009-05-24 10:35:00,10,24,5,1,Summer,0.8704166666666673,0.8704166666666673,0.448282427536518,0.4710387745332691
5/10/2008,19:56:00,0.318,0.082,241.79,1.4,0.0,1.0,0.0,2008-10-05 19:56:00,19,5,10,1,Autumn,0.3906666666666671,0.3906666666666671,0.0026944927538243,0.8139931740614325
19/2/2009,19:19:00,0.4,0.06,238.21,1.6,0.0,0.0,0.0,2009-02-19 19:19:00,19,19,2,0,Winter,0.3325000000000004,0.3325000000000004,0.0019621739132605,1.2030075187969909
20/4/2010,02:53:00,0.314,0.07,242.11,1.2,0.0,1.0,1.0,2010-04-20 02:53:00,2,20,4,0,Summer,0.3867500000000006,0.3867500000000006,0.0015975000001621,0.8118939883645754
29/2/2008,03:31:00,0.31,0.11,241.01,1.4,0.0,0.0,0.0,2008-02-29 03:31:00,3,29,2,0,Winter,0.3068333333333337,0.3068333333333337,0.0055930144930633,1.0103204780010853
10/2/2009,15:38:00,1.952,0.14,244.81,8.0,0.0,0.0,18.0,2009-02-10 15:38:00,15,10,2,0,Winter,1.8450000000000004,1.8450000000000004,0.0139996521743787,1.0579945799457993
15/2/2008,09:32:00,1.41,0.062,237.86,5.8,0.0,2.0,17.0,2008-02-15 09:32:00,9,15,2,0,Winter,1.3680000000000003,1.3680000000000003,0.0013151304350554,1.030701754385965
13/1/2009,20:10:00,2.632,0.064,243.26,10.8,0.0,0.0,18.0,2009-01-13 20:10:00,20,13,1,0,Winter,1.7985000000000004,1.7985000000000004,0.0985903478263903,1.4634417570197384
26/4/2010,03:11:00,0.352,0.118,242.41,1.4,0.0,0.0,1.0,2010-04-26 03:11:00,3,26,4,0,Summer,0.2892500000000006,0.2892500000000006,0.0021630652175338,1.216940363007776
